x y Depth Vs
457.3858 284.1479 11.3 3.652
457.3858 284.1479 11.4 3.652
457.3858 284.1479 11.5 3.652
457.3858 284.1479 11.6 3.652
457.3858 284.1479 11.7 3.652
457.3858 284.1479 11.8 3.652
457.3858 284.1479 11.9 3.652
457.3858 284.1479 12.0 3.652
457.3858 284.1479 12.1 3.652
457.3858 284.1479 12.2 3.652
457.3858 284.1479 12.3 3.652
457.3858 284.1479 12.4 3.652
457.3858 284.1479 12.5 3.652
457.3858 284.1479 12.6 3.652
457.3858 284.1479 12.7 3.652
457.3858 284.1479 12.8 3.652
457.3858 284.1479 12.9 3.652
457.3858 284.1479 13.0 3.652
457.3858 284.1479 13.1 3.652
457.3858 284.1479 13.2 3.652
457.3858 284.1479 13.3 3.652
457.3858 284.1479 13.4 3.652
457.3858 284.1479 13.5 3.652
457.3858 284.1479 13.6 3.652
457.3858 284.1479 13.7 3.652
457.3858 284.1479 13.8 3.652
457.3858 284.1479 13.9 3.652
457.3858 284.1479 14.0 3.652
457.3858 284.1479 14.1 3.652
457.3858 284.1479 14.2 3.652
457.3858 284.1479 14.3 3.652
457.3858 284.1479 14.4 3.652
457.3858 284.1479 14.5 3.652
457.3858 284.1479 14.6 3.652
457.3858 284.1479 14.7 3.652
457.3858 284.1479 14.8 3.652
457.3858 284.1479 14.9 3.652
457.3858 284.1479 15.0 3.652
457.3858 284.1479 15.1 3.652
457.3858 284.1479 15.2 3.711
457.3858 284.1479 15.3 3.711
457.3858 284.1479 15.4 3.711
457.3858 284.1479 15.5 3.711
457.3858 284.1479 15.6 3.711
457.3858 284.1479 15.7 3.711
457.3858 284.1479 15.8 3.711
457.3858 284.1479 15.9 3.711
457.3858 284.1479 16.0 3.711
457.3858 284.1479 16.1 3.711
457.3858 284.1479 16.2 3.711
457.3858 284.1479 16.3 3.711
457.3858 284.1479 16.4 3.711
457.3858 284.1479 16.5 3.711
457.3858 284.1479 16.6 3.711
457.3858 284.1479 16.7 3.711
457.3858 284.1479 16.8 3.711
457.3858 284.1479 16.9 3.711
457.3858 284.1479 17.0 3.711
457.3858 284.1479 17.1 3.711
457.3858 284.1479 17.2 3.711
457.3858 284.1479 17.3 3.711
457.3858 284.1479 17.4 3.711
457.3858 284.1479 17.5 3.711
457.3858 284.1479 17.6 3.711
457.3858 284.1479 17.7 3.711
457.3858 284.1479 17.8 3.711
457.3858 284.1479 17.9 3.711
457.3858 284.1479 18.0 3.711
457.3858 284.1479 18.1 3.711
